Source File,Page,Has_Text,Has_Order_Header,Used_OCR
103.pdf,64,True,True,False
103.pdf,65,True,True,False
103.pdf,66,True,True,False
103.pdf,67,True,True,False
103.pdf,68,True,True,False
103.pdf,69,True,True,False
103.pdf,70,True,True,False
103.pdf,71,True,True,False
103.pdf,72,True,True,False
103.pdf,73,True,True,False
103.pdf,74,True,True,False
103.pdf,75,True,True,False
103.pdf,76,True,False,True
103.pdf,77,True,True,False
103.pdf,78,True,True,False
103.pdf,79,True,False,True
103.pdf,80,True,True,False
103.pdf,81,True,True,False
103.pdf,82,True,True,False
103.pdf,83,True,True,False
103.pdf,84,True,True,False
104.pdf,1,True,True,False
104.pdf,2,True,True,False
104.pdf,3,True,False,True
104.pdf,4,True,True,False
104.pdf,5,True,True,False
104.pdf,6,True,True,False
104.pdf,7,True,True,False
104.pdf,8,True,True,False
104.pdf,9,True,True,False
104.pdf,10,True,True,False
104.pdf,11,True,True,False
104.pdf,12,True,True,False
104.pdf,13,True,True,False
104.pdf,14,True,True,False
104.pdf,15,True,True,False
104.pdf,16,True,True,False
104.pdf,17,True,True,False
104.pdf,18,True,True,False
104.pdf,19,True,True,False
104.pdf,20,True,False,True
104.pdf,21,True,True,False
104.pdf,22,True,True,False
104.pdf,23,True,True,False
104.pdf,24,True,True,False
104.pdf,25,True,True,False
104.pdf,26,True,True,False
104.pdf,27,True,True,False
104.pdf,28,True,True,False
104.pdf,29,True,True,False
104.pdf,30,True,True,False
104.pdf,31,True,True,False
104.pdf,32,True,True,False
104.pdf,33,True,True,False
104.pdf,34,True,True,False
104.pdf,35,True,True,False
104.pdf,36,True,True,False
104.pdf,37,True,True,False
104.pdf,38,True,True,False
104.pdf,39,True,True,False
104.pdf,40,True,True,False
104.pdf,41,True,True,False
104.pdf,42,True,True,False
104.pdf,43,True,True,False
104.pdf,44,True,True,False
104.pdf,45,True,True,False
104.pdf,46,True,True,False
104.pdf,47,True,True,False
104.pdf,48,True,True,False
104.pdf,49,True,True,False
104.pdf,50,True,True,False
104.pdf,51,True,True,False
104.pdf,52,True,True,False
104.pdf,53,True,True,False
104.pdf,54,True,True,False
104.pdf,55,True,True,False
104.pdf,56,True,True,False
104.pdf,57,True,True,False
104.pdf,58,True,True,False
104.pdf,59,True,True,False
104.pdf,60,True,True,False
104.pdf,61,True,True,False
104.pdf,62,True,True,False
104.pdf,63,True,True,False
104.pdf,64,True,True,False
104.pdf,65,True,True,False
104.pdf,66,True,True,False
104.pdf,67,True,True,False
104.pdf,68,True,True,False
104.pdf,69,True,True,False
104.pdf,70,True,True,False
104.pdf,71,True,True,False
104.pdf,72,True,True,False
104.pdf,73,True,True,False
104.pdf,74,True,True,False
104.pdf,75,True,True,False
104.pdf,76,True,True,False
104.pdf,77,True,True,False
104.pdf,78,True,True,False
104.pdf,79,True,True,False
104.pdf,80,True,True,False
104.pdf,81,True,True,False
104.pdf,82,True,True,False
105.pdf,1,True,True,False
105.pdf,2,True,True,False
105.pdf,3,True,True,False
105.pdf,4,True,True,False
105.pdf,5,True,True,False
105.pdf,6,True,True,False
105.pdf,7,True,True,False
105.pdf,8,True,True,False
105.pdf,9,True,True,False
105.pdf,10,True,True,False
105.pdf,11,True,True,False
105.pdf,12,True,True,False
105.pdf,13,True,True,False
105.pdf,14,True,True,False
105.pdf,15,True,True,False
105.pdf,16,True,True,False
105.pdf,17,True,True,False
105.pdf,18,True,True,False
105.pdf,19,True,True,False
105.pdf,20,True,True,False
105.pdf,21,True,True,False
105.pdf,22,True,True,False
105.pdf,23,True,True,False
105.pdf,24,True,True,False
105.pdf,25,True,True,False
105.pdf,26,True,True,False
105.pdf,27,True,True,False
105.pdf,28,True,True,False
105.pdf,29,True,True,False
105.pdf,30,True,True,False
105.pdf,31,True,True,False
105.pdf,32,True,True,False
105.pdf,33,True,True,False
105.pdf,34,True,True,False
105.pdf,35,True,True,False
105.pdf,36,True,True,False
105.pdf,37,True,True,False
105.pdf,38,True,True,False
105.pdf,39,True,True,False
105.pdf,40,True,True,False
105.pdf,41,True,True,False
105.pdf,42,True,True,False
105.pdf,43,True,True,False
105.pdf,44,True,True,False
105.pdf,45,True,True,False
105.pdf,46,True,True,False
105.pdf,47,True,True,False
105.pdf,48,True,True,False
105.pdf,49,True,True,False
105.pdf,50,True,True,False
105.pdf,51,True,True,False
105.pdf,52,True,True,False
105.pdf,53,True,True,False
105.pdf,54,True,True,False
105.pdf,55,True,True,False
105.pdf,56,True,True,False
105.pdf,57,True,True,False
105.pdf,58,True,True,False
105.pdf,59,True,True,False
105.pdf,60,True,True,False
105.pdf,61,True,True,False
105.pdf,62,True,True,False
105.pdf,63,True,True,False
105.pdf,64,True,True,False
105.pdf,65,True,True,False
105.pdf,66,True,True,False
105.pdf,67,True,True,False
105.pdf,68,True,True,False
105.pdf,69,True,True,False
105.pdf,70,True,True,False
105.pdf,71,True,True,False
105.pdf,72,True,True,False
105.pdf,73,True,True,False
105.pdf,74,True,True,False
105.pdf,75,True,True,False
105.pdf,76,True,True,False
105.pdf,77,True,True,False
105.pdf,78,True,True,False
105.pdf,79,True,True,False
105.pdf,80,True,True,False
106.pdf,1,True,True,False
106.pdf,2,True,True,False
106.pdf,3,True,True,False
106.pdf,4,True,True,False
106.pdf,5,True,True,False
106.pdf,6,True,True,False
106.pdf,7,True,True,False
106.pdf,8,True,True,False
106.pdf,9,True,True,False
106.pdf,10,True,True,False
106.pdf,11,True,True,False
106.pdf,12,True,True,False
106.pdf,13,True,True,False
106.pdf,14,True,True,False
106.pdf,15,True,True,False
106.pdf,16,True,True,False
106.pdf,17,True,True,False
106.pdf,18,True,True,False
106.pdf,19,True,True,False
106.pdf,20,True,True,False
106.pdf,21,True,True,False
106.pdf,22,True,True,False
106.pdf,23,True,True,False
106.pdf,24,True,True,False
106.pdf,25,True,True,False
106.pdf,26,True,True,False
106.pdf,27,True,True,False
106.pdf,28,True,True,False
106.pdf,29,True,True,False
106.pdf,30,True,True,False
106.pdf,31,True,True,False
106.pdf,32,True,True,False
106.pdf,33,True,True,False
106.pdf,34,True,True,False
106.pdf,35,True,True,False
106.pdf,36,True,True,False
106.pdf,37,True,True,False
106.pdf,38,True,True,False
106.pdf,39,True,True,False
106.pdf,40,True,True,False
106.pdf,41,True,True,False
106.pdf,42,True,True,False
106.pdf,43,True,True,False
106.pdf,44,True,False,True
106.pdf,45,True,True,False
